S no,Name,team,Type,identifier,name,unique_name,key_bcci,key_bcci_2,key_bigbash,key_cricbuzz,key_cricheroes,key_crichq,key_cricinfo,key_cricinfo_2,key_cricinfo_3,key_cricingif,key_cricketarchive,key_cricketarchive_2,key_cricketworld,key_nvplay,key_nvplay_2,key_opta,key_opta_2,key_pulse,key_pulse_2
101,Xavier Bartlett ,PBKS,2,3b53243a,XC Bartlett,XC Bartlett,0,0,10740,0,0,0,1050545,0,0,0,1795944,0,0,0,0,0,0,0,0
102,Lockie Ferguson ,PBKS,2,2f9d0389,LH Ferguson,LH Ferguson,0,0,0,10692,0,0,493773,0,0,0,1206219,0,0,f39fa270-fba3-46c8-9a57-859fc78493bc,0,0,0,3729,0
103,Vyshak Vijaykumar ,PBKS,2,54e52590,Vijaykumar Vyshak,Vijaykumar Vyshak,iJiiIiJUXeyVOJQecObiILz1AChGJK0,0,0,0,0,0,777815,0,0,0,0,0,0,0,0,0,0,0,0
104,Yash Thakur ,PBKS,2,4b31f3a3,Yash Thakur,Yash Thakur,zJehyecIIU0iJiQGXJ1AOiiOLVbCKiJ,0,0,0,0,0,1070196,0,0,0,0,0,0,0,0,0,0,0,0
105,Vishnu Vinod ,PBKS,1,0494fa6e,Vishnu Vinod,Vishnu Vinod,iyKLicQiOJIbJ0iVie1AeUGJXhIOJCz,0,0,0,0,0,732293,0,0,0,0,0,0,0,0,0,0,4305,0
106,Cooper Connolly ,PBKS,1,fe366f34,C Connolly,C Connolly,0,0,0,0,0,0,1210488,0,0,0,0,0,0,0,0,0,0,0,0
107,Ben Dwarshuis ,PBKS,2,e1b9f3a9,BJ Dwarshuis,BJ Dwarshuis,0,0,7037,0,0,0,679567,0,0,0,1395766,0,0,0,0,0,0,1478,0
108,Pravin Dubey ,PBKS,2,ed5a5510,P Dubey,P Dubey,IJzJQJJ0biyiCecKiVUOi1hXOeIAGLi,0,0,0,0,0,777515,0,0,0,516703,0,0,0,0,0,0,3188,0
109,Shubman Gill ,GT,1,b4b99816,Shubman Gill,Shubman Gill,UOILzJXQhIOe1AcCJGJiJVbeii0Kyii,0,0,0,0,0,1070173,0,0,0,1573620,0,0,0,0,0,0,3761,0
110,Sai Sudharsan ,GT,1,d5130a30,B Sai Sudharsan,B Sai Sudharsan,20167c1304259cec11e69558028d29d,0,0,0,0,0,1151288,0,0,0,0,0,0,0,0,0,0,0,0
111,Kumar Kushagra ,GT,1,57ca01b3,Kumar Kushagra,Kumar Kushagra,ciQKXeIhzieJGO0VIAiJ1LCOJUyiibJ,0,0,0,0,0,1207295,0,0,0,0,0,0,0,0,0,0,0,0
112,Anuj Rawat ,GT,1,c8f5f961,Anuj Rawat,Anuj Rawat,ACKIeUOzI0iJihebicGLQyXJJ1VOJii,0,0,0,0,0,1123073,0,0,0,0,0,0,0,0,0,0,0,0
113,Jos Buttler ,GT,1,99b75528,JC Buttler,JC Buttler,0,0,0,0,0,0,308967,0,0,11248,136065,0,0,0,0,0,0,509,0
114,Nishant Sindhu ,GT,3,3cea23da,N Sindhu,N Sindhu,0,0,0,0,0,0,1292506,0,0,0,0,0,0,0,0,0,0,0,0
115,Washington Sundar ,GT,3,f19ccfad,Washington Sundar,Washington Sundar,iIeLAiXCVh0iiJOJbyGcOie1JzJUKQI,0,0,0,0,0,719715,0,0,0,1376706,0,0,8a079fc8-99c9-41b9-92b0-34127585a0c2,0,0,0,2973,0
116,Glenn Phillips ,GT,3,9a46c4e5,GD Phillips,GD Phillips,0,0,0,10693,0,0,823509,0,0,0,1595227,0,0,392c0b52-6ab0-41c5-9701-404dd5a405ad,0,0,0,3027,0
117,Arshad Khan ,GT,2,12314277,Arshad Khan,Arshad Khan (2),0,0,0,0,0,0,1244751,0,0,0,0,0,0,0,0,0,0,0,0
118,Shahrukh Khan ,GT,1,7dcb9bc9,M Shahrukh Khan,M Shahrukh Khan,Ch0JeOXVeyGbiiKJJUicIQizO1AiIJL,0,0,0,0,0,719719,0,0,0,0,0,0,0,0,0,0,7779,0
119,Rahul Tewatia ,GT,3,39a2dfa8,R Tewatia,R Tewatia,CiJ1yhieIbzOiUKOViAGc0ieJJILQXJ,0,0,0,0,0,423838,0,0,0,262658,0,0,0,0,0,0,1749,0
120,Kagiso Rabada ,GT,2,e62dd25d,K Rabada,K Rabada,0,0,0,0,0,0,550215,0,0,0,1374908,0,0,0,0,0,0,1664,0
121,Mohammed Siraj ,GT,2,2f49c897,Mohammed Siraj,Mohammed Siraj,UiLzXQiGJbJ1IOAy0cJehOJeiCKIVii,0,0,0,0,0,940973,0,0,0,1917055,0,0,0,0,0,0,3840,0
122,Prasidh Krishna ,GT,2,85e0cf10,M Prasidh Krishna,M Prasidh Krishna,1V0JJIIiiXUcQeiGLJAJOihybzCiOeK,0,0,0,0,0,917159,0,0,0,1556435,0,0,0,0,0,0,5105,0
123,Ishant Sharma ,GT,2,5bb1a1c4,I Sharma,I Sharma,UiOeJizJOeGXJiVybJ0iiIK1CIAhcQL,0,0,0,0,0,236779,0,0,0,100673,0,0,0,0,0,0,38,0
124,Gurnoor Singh Brar,GT,2,99258814,Gurnoor Brar,Gurnoor Brar,0,0,0,0,0,0,1287033,0,0,0,0,0,0,0,0,0,0,0,0
125,Rashid Khan ,GT,3,5f547c8b,Rashid Khan,Rashid Khan,0,0,8141,0,0,0,793463,0,0,0,1738090,0,0,0,0,0,0,2885,0
126,Manav Suthar ,GT,3,025c4400,MJ Suthar,MJ Suthar,0,0,0,0,0,0,1175426,0,0,0,0,0,0,0,0,0,0,0,0
127,Sai Kishore ,GT,2,c7a995d3,R Sai Kishore,R Sai Kishore,1QzyJJeUKAiJGLCOVXiiIcbO0iIiheJ,0,0,0,0,0,1048739,0,0,0,0,0,0,22133e28-03ea-4e57-88df-d2a9cec13044,0,0,0,0,0
128,Jayant Yadav ,GT,2,81049310,J Yadav,J Yadav,iOVOzKiiICIiUQeeGLXJb10JcJiJhAy,0,0,0,0,0,447587,0,0,0,254366,0,0,0,0,0,0,1740,0
129,Ashok Sharma ,GT,2,50c09020,Ashok Sharma,Ashok Sharma,0,0,0,0,0,0,1299879,0,0,0,0,0,0,0,0,0,0,0,0
130,Jason Holder ,GT,3,0f721006,JO Holder,JO Holder,0,0,5211,0,0,0,391485,0,0,0,432602,0,0,0,0,0,0,1075,0
131,Tom Banton ,GT,1,25f7b7d6,T Banton,T Banton,0,0,10866,0,0,0,877051,0,0,16009,1130413,0,0,93f206cf-abba-4d7a-aa17-1591a1dfff21,0,0,0,3770,0
132,Luke Wood ,GT,2,65b6943c,L Wood,L Wood,0,0,0,0,0,0,573170,0,0,0,1102475,0,0,0,0,0,0,1554,0
133,Ravindra Jadeja ,RR,3,fe93fd9d,RA Jadeja,RA Jadeja,0,0,0,0,0,0,234675,0,0,0,94280,0,0,0,0,0,0,9,0
134,Donovan Ferreira ,RR,3,f0af99a7,D Ferreira,D Ferreira,0,0,0,0,0,0,698315,0,0,0,2132017,0,60564,0,0,0,0,0,0
135,Sandeep Sharma ,RR,2,ce820073,Sandeep Sharma,Sandeep Sharma,i1QhcIiJJXbVOyCieKe0JIJOiiULGAz,0,0,0,0,0,438362,0,0,0,250486,0,0,0,0,0,0,1112,0
136,Shubham Dubey ,RR,1,6b2ff18f,SB Dubey,SB Dubey,yIOiiQG1KOUVLJ0iJCbiIJXehJiAezc,0,0,0,0,0,1252585,0,0,0,0,0,0,0,0,0,0,0,0
